"","sample_id","cluster","M1_layer","MTG_layer_transfer"
"M1_SM-GE5UF_S119_E1-50","SM-GE5UF_S119_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UF_S121_E1-50","SM-GE5UF_S121_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S122_E1-50","SM-GE5UF_S122_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S126_E1-50","SM-GE5UF_S126_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UF_S130_E1-50","SM-GE5UF_S130_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S131_E1-50","SM-GE5UF_S131_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S133_E1-50","SM-GE5UF_S133_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S134_E1-50","SM-GE5UF_S134_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S135_E1-50","SM-GE5UF_S135_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S138_E1-50","SM-GE5UF_S138_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S139_E1-50","SM-GE5UF_S139_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S141_E1-50","SM-GE5UF_S141_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S149_E1-50","SM-GE5UF_S149_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UF_S159_E1-50","SM-GE5UF_S159_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UF_S169_E1-50","SM-GE5UF_S169_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UF_S171_E1-50","SM-GE5UF_S171_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UF_S173_E1-50","SM-GE5UF_S173_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UF_S177_E1-50","SM-GE5UF_S177_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S178_E1-50","SM-GE5UF_S178_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L5"
"M1_SM-GE5UF_S182_E1-50","SM-GE5UF_S182_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S183_E1-50","SM-GE5UF_S183_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S186_E1-50","SM-GE5UF_S186_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S187_E1-50","SM-GE5UF_S187_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S188_E1-50","SM-GE5UF_S188_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S190_E1-50","SM-GE5UF_S190_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UF_S191_E1-50","SM-GE5UF_S191_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE5UG_S002_E1-50","SM-GE5UG_S002_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5UG_S003_E1-50","SM-GE5UG_S003_E1-50","Exc L6 THEMIS SLN","L6","L5"
"M1_SM-GE5UG_S006_E1-50","SM-GE5UG_S006_E1-50","Exc L5 FEZF2 RNF144A-AS1","L6","L5"
"M1_SM-GE5UG_S007_E1-50","SM-GE5UG_S007_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S009_E1-50","SM-GE5UG_S009_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UG_S010_E1-50","SM-GE5UG_S010_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UG_S012_E1-50","SM-GE5UG_S012_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L6","L5"
"M1_SM-GE5UG_S014_E1-50","SM-GE5UG_S014_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S015_E1-50","SM-GE5UG_S015_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UG_S017_E1-50","SM-GE5UG_S017_E1-50","Exc L6 FEZF2 POGK","L6","L6"
"M1_SM-GE5UG_S018_E1-50","SM-GE5UG_S018_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S020_E1-50","SM-GE5UG_S020_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L5"
"M1_SM-GE5UG_S022_E1-50","SM-GE5UG_S022_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UG_S025_E1-50","SM-GE5UG_S025_E1-50","Exc L5-6 THEMIS SMYD1","L6","L6"
"M1_SM-GE5UG_S027_E1-50","SM-GE5UG_S027_E1-50","Exc L6 THEMIS SLN","L6","L6"
"M1_SM-GE5UG_S028_E1-50","SM-GE5UG_S028_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5UG_S029_E1-50","SM-GE5UG_S029_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S030_E1-50","SM-GE5UG_S030_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5UG_S033_E1-50","SM-GE5UG_S033_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S034_E1-50","SM-GE5UG_S034_E1-50","Exc L5 THEMIS RGPD6","L6","L5"
"M1_SM-GE5UG_S035_E1-50","SM-GE5UG_S035_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S037_E1-50","SM-GE5UG_S037_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S038_E1-50","SM-GE5UG_S038_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S039_E1-50","SM-GE5UG_S039_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S041_E1-50","SM-GE5UG_S041_E1-50","Exc L5-6 FEZF2 SH2D1B","L6","L5"
"M1_SM-GE5UG_S042_E1-50","SM-GE5UG_S042_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S044_E1-50","SM-GE5UG_S044_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S045_E1-50","SM-GE5UG_S045_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S046_E1-50","SM-GE5UG_S046_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S049_E1-50","SM-GE5UG_S049_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE5UG_S054_E1-50","SM-GE5UG_S054_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UG_S059_E1-50","SM-GE5UG_S059_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UG_S063_E1-50","SM-GE5UG_S063_E1-50","Exc L2-3 RORB RTKN2","L3","L3"
"M1_SM-GE5UG_S069_E1-50","SM-GE5UG_S069_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UG_S081_E1-50","SM-GE5UG_S081_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S082_E1-50","SM-GE5UG_S082_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S083_E1-50","SM-GE5UG_S083_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S084_E1-50","SM-GE5UG_S084_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S086_E1-50","SM-GE5UG_S086_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S091_E1-50","SM-GE5UG_S091_E1-50","Exc L5-6 FEZF2 SH2D1B","L6","L6"
"M1_SM-GE5UG_S092_E1-50","SM-GE5UG_S092_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S093_E1-50","SM-GE5UG_S093_E1-50","Exc L5-6 FEZF2 SH2D1B","L6","L5"
"M1_SM-GE5UG_S094_E1-50","SM-GE5UG_S094_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S098_E1-50","SM-GE5UG_S098_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S099_E1-50","SM-GE5UG_S099_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UG_S100_E1-50","SM-GE5UG_S100_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE5UG_S101_E1-50","SM-GE5UG_S101_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5UG_S102_E1-50","SM-GE5UG_S102_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UG_S103_E1-50","SM-GE5UG_S103_E1-50","Exc L6 THEMIS SLN","L6","L5"
"M1_SM-GE5UG_S105_E1-50","SM-GE5UG_S105_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE5UG_S106_E1-50","SM-GE5UG_S106_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S107_E1-50","SM-GE5UG_S107_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5UG_S108_E1-50","SM-GE5UG_S108_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5UG_S109_E1-50","SM-GE5UG_S109_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5UG_S110_E1-50","SM-GE5UG_S110_E1-50","Exc L5-6 FEZF2 LPO","L6","L6"
"M1_SM-GE5UG_S111_E1-50","SM-GE5UG_S111_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S114_E1-50","SM-GE5UG_S114_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UG_S115_E1-50","SM-GE5UG_S115_E1-50","Exc L6 THEMIS SLN","L6","L6"
"M1_SM-GE5UG_S116_E1-50","SM-GE5UG_S116_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
"M1_SM-GE5UG_S117_E1-50","SM-GE5UG_S117_E1-50","Exc L6 THEMIS SLN","L6","L6"
"M1_SM-GE5UG_S119_E1-50","SM-GE5UG_S119_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UG_S121_E1-50","SM-GE5UG_S121_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5UG_S123_E1-50","SM-GE5UG_S123_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S125_E1-50","SM-GE5UG_S125_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UG_S126_E1-50","SM-GE5UG_S126_E1-50","Exc L6 FEZF2 POGK","L6","L6"
"M1_SM-GE5UG_S129_E1-50","SM-GE5UG_S129_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S130_E1-50","SM-GE5UG_S130_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S131_E1-50","SM-GE5UG_S131_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S133_E1-50","SM-GE5UG_S133_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S134_E1-50","SM-GE5UG_S134_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S137_E1-50","SM-GE5UG_S137_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S138_E1-50","SM-GE5UG_S138_E1-50","Exc L6 THEMIS SNTG2","L6","L6"
"M1_SM-GE5UG_S140_E1-50","SM-GE5UG_S140_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S141_E1-50","SM-GE5UG_S141_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S146_E1-50","SM-GE5UG_S146_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UG_S150_E1-50","SM-GE5UG_S150_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE5UG_S159_E1-50","SM-GE5UG_S159_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE5UG_S161_E1-50","SM-GE5UG_S161_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S165_E1-50","SM-GE5UG_S165_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L5"
"M1_SM-GE5UG_S172_E1-50","SM-GE5UG_S172_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S173_E1-50","SM-GE5UG_S173_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UG_S188_E1-50","SM-GE5UG_S188_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UH_S001_E1-50","SM-GE5UH_S001_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5UH_S003_E1-50","SM-GE5UH_S003_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5UH_S004_E1-50","SM-GE5UH_S004_E1-50","Exc L5-6 FEZF2 SH2D1B","L6","L5"
"M1_SM-GE5UH_S005_E1-50","SM-GE5UH_S005_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UH_S006_E1-50","SM-GE5UH_S006_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5UH_S007_E1-50","SM-GE5UH_S007_E1-50","Exc L5-6 FEZF2 OR1L8","L6","L6"
"M1_SM-GE5UH_S012_E1-50","SM-GE5UH_S012_E1-50","Exc L6 THEMIS SNTG2","L6","L5"
"M1_SM-GE5UH_S018_E1-50","SM-GE5UH_S018_E1-50","Exc L6 FEZF2 PROKR2","L6","L6"
"M1_SM-GE5UH_S019_E1-50","SM-GE5UH_S019_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UH_S020_E1-50","SM-GE5UH_S020_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5UH_S021_E1-50","SM-GE5UH_S021_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5UH_S022_E1-50","SM-GE5UH_S022_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5UH_S109_E1-50","SM-GE5UH_S109_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5UH_S111_E1-50","SM-GE5UH_S111_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE5UH_S114_E1-50","SM-GE5UH_S114_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5UH_S116_E1-50","SM-GE5UH_S116_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5UH_S117_E1-50","SM-GE5UH_S117_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5UH_S119_E1-50","SM-GE5UH_S119_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE5U8_S099_E1-50","SM-GE5U8_S099_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE5U8_S117_E1-50","SM-GE5U8_S117_E1-50","Exc L2 LAMP5 KCNG3","L2","L2"
"M1_SM-GE5U8_S121_E1-50","SM-GE5U8_S121_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE5U8_S122_E1-50","SM-GE5U8_S122_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE5U8_S123_E1-50","SM-GE5U8_S123_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE5U8_S124_E1-50","SM-GE5U8_S124_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE5U8_S125_E1-50","SM-GE5U8_S125_E1-50","Exc L2 LINC00507 GLRA3","L2","L3"
"M1_SM-GE5U8_S129_E1-50","SM-GE5U8_S129_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5U8_S130_E1-50","SM-GE5U8_S130_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U8_S131_E1-50","SM-GE5U8_S131_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U8_S132_E1-50","SM-GE5U8_S132_E1-50","Exc L5 FEZF2 PKD2L1","L3","L5"
"M1_SM-GE5U8_S133_E1-50","SM-GE5U8_S133_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE5U8_S134_E1-50","SM-GE5U8_S134_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U8_S135_E1-50","SM-GE5U8_S135_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U8_S137_E1-50","SM-GE5U8_S137_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE5U8_S139_E1-50","SM-GE5U8_S139_E1-50","Exc L2 LINC00507 GLRA3","L3","L2"
"M1_SM-GE5U8_S145_E1-50","SM-GE5U8_S145_E1-50","Exc L5 THEMIS FGF10","L5","L5"
"M1_SM-GE5U8_S149_E1-50","SM-GE5U8_S149_E1-50","Exc L3-5 RORB LNX2","L5","L4"
"M1_SM-GE5U8_S150_E1-50","SM-GE5U8_S150_E1-50","Exc L5 THEMIS SLC22A18","L5","L5"
"M1_SM-GE5U8_S153_E1-50","SM-GE5U8_S153_E1-50","Exc L6 FEZF2 KLK7","L5","L6"
"M1_SM-GE5U8_S154_E1-50","SM-GE5U8_S154_E1-50","Exc L5-6 FEZF2 IFNG-AS1","L5","L5"
"M1_SM-GE5U8_S155_E1-50","SM-GE5U8_S155_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE5U8_S156_E1-50","SM-GE5U8_S156_E1-50","Exc L5-6 THEMIS TNFAIP6","L5","L5"
"M1_SM-GE5U8_S157_E1-50","SM-GE5U8_S157_E1-50","Exc L5 THEMIS LINC01116","L5","L5"
"M1_SM-GE5U8_S158_E1-50","SM-GE5U8_S158_E1-50","Exc L5 THEMIS VILL","L5","L6"
"M1_SM-GE5U8_S159_E1-50","SM-GE5U8_S159_E1-50","Exc L3-5 RORB LNX2","L5","L5"
"M1_SM-GE5U8_S165_E1-50","SM-GE5U8_S165_E1-50","Exc L5 FEZF2 RNF144A-AS1","L5","L5"
"M1_SM-GE5U8_S169_E1-50","SM-GE5U8_S169_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5U8_S170_E1-50","SM-GE5U8_S170_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5U8_S171_E1-50","SM-GE5U8_S171_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5U8_S172_E1-50","SM-GE5U8_S172_E1-50","Exc L5 FEZF2 RNF144A-AS1","L6","L5"
"M1_SM-GE5U8_S173_E1-50","SM-GE5U8_S173_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5U8_S174_E1-50","SM-GE5U8_S174_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L5"
"M1_SM-GE5U8_S175_E1-50","SM-GE5U8_S175_E1-50","Exc L6 FEZF2 KLK7","L6","L5"
"M1_SM-GE5U8_S177_E1-50","SM-GE5U8_S177_E1-50","Exc L6 THEMIS LINC00343","L6","L6"
"M1_SM-GE5U8_S178_E1-50","SM-GE5U8_S178_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE5U8_S179_E1-50","SM-GE5U8_S179_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE5U8_S180_E1-50","SM-GE5U8_S180_E1-50","Exc L6 THEMIS LINC00343","L6","L5"
"M1_SM-GE5U8_S181_E1-50","SM-GE5U8_S181_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE5U8_S182_E1-50","SM-GE5U8_S182_E1-50","Exc L5-6 THEMIS TNFAIP6","L6","L6"
"M1_SM-GE5U8_S183_E1-50","SM-GE5U8_S183_E1-50","Exc L5-6 FEZF2 FILIP1L","L6","L6"
"M1_SM-GE5U8_S191_E1-50","SM-GE5U8_S191_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5U9_S014_E1-50","SM-GE5U9_S014_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE5U9_S025_E1-50","SM-GE5U9_S025_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE5U9_S026_E1-50","SM-GE5U9_S026_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE5U9_S027_E1-50","SM-GE5U9_S027_E1-50","Exc L5 THEMIS SLC22A18","L3","L5"
"M1_SM-GE5U9_S028_E1-50","SM-GE5U9_S028_E1-50","Exc L2-3 RORB CCDC68","L3","L4"
"M1_SM-GE5U9_S030_E1-50","SM-GE5U9_S030_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE5U9_S031_E1-50","SM-GE5U9_S031_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE5U9_S041_E1-50","SM-GE5U9_S041_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S042_E1-50","SM-GE5U9_S042_E1-50","Exc L3-5 RORB LAMA4","L3","L4"
"M1_SM-GE5U9_S043_E1-50","SM-GE5U9_S043_E1-50","Exc L3-5 RORB LINC01202","L3","L4"
"M1_SM-GE5U9_S045_E1-50","SM-GE5U9_S045_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE5U9_S046_E1-50","SM-GE5U9_S046_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S047_E1-50","SM-GE5U9_S047_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S049_E1-50","SM-GE5U9_S049_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S050_E1-50","SM-GE5U9_S050_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE5U9_S051_E1-50","SM-GE5U9_S051_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE5U9_S052_E1-50","SM-GE5U9_S052_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S053_E1-50","SM-GE5U9_S053_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S054_E1-50","SM-GE5U9_S054_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE5U9_S055_E1-50","SM-GE5U9_S055_E1-50","Exc L3-5 RORB LAMA4","L3","L5"
"M1_SM-GE5U9_S058_E1-50","SM-GE5U9_S058_E1-50","Exc L2-3 LINC00507 DSG3","L3","L3"
"M1_SM-GE5U9_S061_E1-50","SM-GE5U9_S061_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE5U9_S071_E1-50","SM-GE5U9_S071_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5U9_S074_E1-50","SM-GE5U9_S074_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
"M1_SM-GE5U9_S081_E1-50","SM-GE5U9_S081_E1-50","Exc L5-6 THEMIS SMYD1","L6","L5"
"M1_SM-GE5U9_S083_E1-50","SM-GE5U9_S083_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5U9_S085_E1-50","SM-GE5U9_S085_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5U9_S091_E1-50","SM-GE5U9_S091_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5U9_S095_E1-50","SM-GE5U9_S095_E1-50","Exc L5-6 FEZF2 C9orf135-AS1","L6","L6"
"M1_SM-GE5U9_S097_E1-50","SM-GE5U9_S097_E1-50","Exc L2 LAMP5 KCNG3","L1","L2"
"M1_SM-GE5U9_S106_E1-50","SM-GE5U9_S106_E1-50","Exc L2 LAMP5 KCNG3","L1","L2"
"M1_SM-GE5U9_S116_E1-50","SM-GE5U9_S116_E1-50","Exc L2 LINC00507 GLRA3","L1","L2"
"M1_SM-GE5U9_S121_E1-50","SM-GE5U9_S121_E1-50","Exc L2-3 RORB CCDC68","L3","L3"
"M1_SM-GE5U9_S122_E1-50","SM-GE5U9_S122_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE5U9_S123_E1-50","SM-GE5U9_S123_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S124_E1-50","SM-GE5U9_S124_E1-50","Exc L3 THEMIS ENPEP","L3","L3"
"M1_SM-GE5U9_S125_E1-50","SM-GE5U9_S125_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE5U9_S126_E1-50","SM-GE5U9_S126_E1-50","Exc L3 THEMIS ENPEP","L3","L4"
"M1_SM-GE5U9_S127_E1-50","SM-GE5U9_S127_E1-50","Exc L5 THEMIS SLC22A18","L3","L5"
"M1_SM-GE5U9_S129_E1-50","SM-GE5U9_S129_E1-50","Exc L3 RORB OTOGL","L3","L4"
"M1_SM-GE5U9_S130_E1-50","SM-GE5U9_S130_E1-50","Exc L5 THEMIS SLC22A18","L3","L5"
"M1_SM-GE5U9_S131_E1-50","SM-GE5U9_S131_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S132_E1-50","SM-GE5U9_S132_E1-50","Exc L5 FEZF2 RNF144A-AS1","L3","L5"
"M1_SM-GE5U9_S133_E1-50","SM-GE5U9_S133_E1-50","Exc L3 LAMP5 CARM1P1","L3","L4"
"M1_SM-GE5U9_S134_E1-50","SM-GE5U9_S134_E1-50","Exc L3-5 RORB LNX2","L3","L4"
"M1_SM-GE5U9_S135_E1-50","SM-GE5U9_S135_E1-50","Exc L3 LAMP5 CARM1P1","L3","L3"
"M1_SM-GE5U9_S145_E1-50","SM-GE5U9_S145_E1-50","Exc L2 LINC00507 GLRA3","L3","L3"
