tree_order,Zizen's new cluster_ids,cluster_id,cluster_label,cluster_color,cluster_size,class,class_color,subclass,subclass_color,level2,level2_color,level3,level3_color,integrated,integrated_color,integrated_FINAL,integrated_FINAL_color,integrated_alias,DNAm_cluster_id,DNAm_cluster_name,old_DNAm_cluster_id,old_remap?,old_new cluster?,DNAm_cluster_label,DNAm_cluster_color,ATAC_cluster_id,ATAC_cluster_label,ATAC_cluster_color,VISp_ALM_best_match,Notes
46,46,46,Sst Th_2,#A81111,21,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_30,#A81111,Pvalb_1,#E15C61,,11,MGE-Sst_Srrm4,MGE-Sst,,,Sst Rbp4,#BE8652,Sst_Stk33,Sst Stk33,#BE8652,Sst Nts,
47,47,47,Sst Th_3,#9B211B,70,GABAergic,#C95170,Sst,#FF9900,MGE,#CE4D36,Sst,#C06829,I_40,#9B211B,Sst_7,#9A5C00,,11,MGE-Sst_Srrm4,MGE-Sst_Srrm4,,,Sst Rbp4,#BE8652,Sst_Stk33,Sst Stk33,#BE8652,Sst Nts,
48,48,48,Pvalb Gabrg1,#ED4C50,244,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_30,#A81111,Pvalb_2,#D93339,,14,MGE-Pvalb_Cnih3,MGE-Sst_Srrm4,,,Pvalb Tac1,#ED4C50,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Gabrg1; Pvalb Th Sst,
49,49,49,Pvalb Egfem1,#C05661,205,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_9,#C05661,Pvalb_2,#D93339,,14,MGE-Pvalb_Cnih3,MGE-Pvalb_Cnih3,,,Pvalb Tac1,#ED4C50,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Akr1c18 Ntf3,
50,50,50,Pvalb Gpr149,#E62A5D,734,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_21,#E62A5D,Pvalb_1,#E15C61,,15,MGE-Pvalb_Man2a1,MGE-Pvalb_Man2a1,,,Pvalb Gpr149,#E62A5D,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Gpr149 Islr,
51,51,51,Pvalb Kank4,#BC4B11,609,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_25,#BC4B11,Pvalb_1,#E15C61,,14,MGE-Pvalb_Cnih3,MGE-Pvalb_Cnih3,,,Pvalb Tac1,#ED4C50,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Sema3e Kank4,
52,52,52,Pvalb Calb1_1,#B6411E,98,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,14,MGE-Pvalb_Cnih3,MGE-Pvalb_Cnih3,,,Pvalb Tac1,#ED4C50,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Calb1 Sst,
53,53,53,Pvalb Calb1_2,#BC2D71,667,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,14,MGE-Pvalb_Cnih3,MGE-Pvalb,,,Pvalb Tac1,#ED4C50,Pv_Ntf3_Trim63,Pvalb Ntf3,#ED4C50,Pvalb Reln Tac1,
54,54,54,Pvalb Reln,#9C4165,1500,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_3,#9C4165,Pvalb_1,#E15C61,,16,MGE-Pvalb_Chrna7,MGE-Pvalb_Chrna7,,,Pvalb Plxnc1,#9C4165,Pv_Tac1,Pvalb Tac1,#9C4165,Pvalb Reln Itm2a,
55,55,55,Pvalb Il1rapl2,#BC2C41,1475,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_5,#B6411E,Pvalb_1,#E15C61,,16,MGE-Pvalb_Chrna7,MGE-Pvalb_Chrna7,,,Pvalb Plxnc1,#9C4165,Pv_Tac1,Pvalb Tac1,#9C4165,Pvalb Tpbg,
56,56,56,Pvalb Vipr2_1,#FF197F,9,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_29,#FF197F,Chandelier,#F4358B,Chandelier,17,MGE-Pvalb_Unc5b,MGE-Sst_Srrm4,MGE-Pvalb_Unc5b,,Pvalb Vipr2,#FF197F,mPvalb_Vipr2,Pvalb Vipr2,#FF197F,Pvalb Vipr2,
57,57,57,Pvalb Vipr2_2,#F4358B,151,GABAergic,#C95170,Pvalb,#D93137,MGE,#CE4D36,Pvalb,#DB3143,I_29,#FF197F,Chandelier,#F4358B,Chandelier,17,MGE-Pvalb_Unc5b,MGE-Pvalb_Unc5b,,,Pvalb Vipr2,#FF197F,mPvalb_Vipr2,Pvalb Vipr2,#FF197F,Pvalb Vipr2,
58,58,58,L2/3 IT_1,#00FF34,1410,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_12,#00FF34,L2/3 IT,#C4EC04,,18,L23-IT-Cux2,L23-IT-Cux2,,,L2/3 IT Greb1l,#00FF34,L23.a,L2/3_1,#00FF34,L2/3 IT VISp Adamts2,
59,59,59,L2/3 IT_2,#07D945,2004,Glutamatergic,#3EA185,L2/3 IT,#C4EC04,IT projecting,#3ECB88,IT projecting,#3ECB88,E_3,#07D945,L2/3 IT,#C4EC04,,18,L23-IT-Cux2,L23-IT-Cux2,,,L2/3 IT Greb1l,#00FF34,L23.a,L2/3_1,#00FF34,L2/3 IT ALM Sla,
